circuit,computational_fidelity,exec_time,experiment,n_gates,n_local_gates,n_qpus,n_qubits,n_remote_gates,network,prefetch_time,seed,total_time
cnt3-5_180,4.979962981352541e-20,191280.0,exp1,485.0,270.0,16.0,16.0,215.0,qmsn,110.0,7.0,191390.0
cnt3-5_180,3.8472805169585166e-20,187332.0,exp1,485.0,270.0,16.0,16.0,215.0,mpqn,84.0,7.0,187416.0
cnt3-5_180,4.8051539265517266e-29,354601.0,exp1,485.0,270.0,16.0,16.0,215.0,static_line,1000.0,7.0,355601.0
cnt3-5_180,1.2658284935730391e-23,333604.0,exp1,485.0,270.0,16.0,16.0,215.0,static_grid,1000.0,7.0,334604.0
adr4_197,3.209810943405497e-135,1540100.0,exp1,3424.0,1926.0,13.0,13.0,1498.0,qmsn,110.0,7.0,1540210.0
adr4_197,5.324059614670523e-136,1526463.5,exp1,3424.0,1926.0,13.0,13.0,1498.0,mpqn,84.0,7.0,1526547.5
adr4_197,1.2598429939069366e-195,2945809.0,exp1,3424.0,1926.0,13.0,13.0,1498.0,static_line,1000.0,7.0,2946809.0
adr4_197,1.110913943128203e-171,2792719.0,exp1,3424.0,1926.0,16.0,13.0,1498.0,static_grid,2000.0,7.0,2794719.0
0410184_169,2.8805676164921304e-10,86890.0,exp1,203.0,99.0,14.0,14.0,104.0,qmsn,110.0,7.0,87000.0
0410184_169,3.861352296120648e-10,80420.0,exp1,203.0,99.0,14.0,14.0,104.0,mpqn,32.0,7.0,80452.0
0410184_169,3.2843208733199025e-15,176006.0,exp1,203.0,99.0,14.0,14.0,104.0,static_line,3000.0,7.0,179006.0
0410184_169,1.3150153416132474e-12,136207.0,exp1,203.0,99.0,16.0,14.0,104.0,static_grid,1000.0,7.0,137207.0
z4_268,2.263199163852524e-121,1310970.0,exp1,3062.0,1719.0,11.0,11.0,1343.0,qmsn,110.0,7.0,1311080.0
z4_268,5.047251022634809e-122,1303925.5,exp1,3062.0,1719.0,11.0,11.0,1343.0,mpqn,84.0,7.0,1304009.5
z4_268,1.024992505818698e-157,2399113.0,exp1,3062.0,1719.0,11.0,11.0,1343.0,static_line,2000.0,7.0,2401113.0
z4_268,4.482991011965798e-142,2446212.0,exp1,3062.0,1719.0,12.0,11.0,1343.0,static_grid,3000.0,7.0,2449212.0
