circuit,computational_fidelity_mean,computational_fidelity_std,exec_time_mean,exec_time_std,experiment,network,p_c,p_d,p_e,p_ent,p_t,prefetch_time_mean,prefetch_time_std,runs,total_time_mean,total_time_std
cnt3-5_180,4.979962981352551e-20,0.0,351550.0,0.0,exp_pc,qmsn,0.04,0.8,0.8,0.000295936,0.85,1430.0,0.0,1.0,352980.0,0.0
cnt3-5_180,3.847280516958513e-20,0.0,312608.0,0.0,exp_pc,mpqn,0.04,0.8,0.8,0.000295936,0.85,1358.5,0.0,1.0,313966.5,0.0
cnt3-5_180,4.8051539265517266e-29,0.0,596244303.0,0.0,exp_pc,static_line,0.04,0.8,0.8,0.000295936,0.85,4000.0,0.0,1.0,596248303.0,0.0
cnt3-5_180,1.265828493573037e-23,0.0,5340400.0,0.0,exp_pc,static_grid,0.04,0.8,0.8,0.000295936,0.85,4000.0,0.0,1.0,5344400.0,0.0
adr4_197,1.248479392739594e-135,0.0,2741190.0,0.0,exp_pc,qmsn,0.04,0.8,0.8,0.000295936,0.85,1430.0,0.0,1.0,2742620.0,0.0
adr4_197,2.2353078408056496e-136,0.0,2544955.0,0.0,exp_pc,mpqn,0.04,0.8,0.8,0.000295936,0.85,1358.5,0.0,1.0,2546313.5,0.0
adr4_197,1.2580445031434764e-195,0.0,2413846300.0,0.0,exp_pc,static_line,0.04,0.8,0.8,0.000295936,0.85,27100.0,0.0,1.0,2413873400.0,0.0
adr4_197,5.355050806790535e-171,0.0,51399901.0,0.0,exp_pc,static_grid,0.04,0.8,0.8,0.000295936,0.85,4000.0,0.0,1.0,51403901.0,0.0
0410184_169,1.5363599277184803e-10,0.0,145300.0,0.0,exp_pc,qmsn,0.04,0.8,0.8,0.000295936,0.85,440.0,0.0,1.0,145740.0,0.0
0410184_169,1.5202497046840172e-10,0.0,132655.5,0.0,exp_pc,mpqn,0.04,0.8,0.8,0.000295936,0.85,404.0,0.0,1.0,133059.5,0.0
0410184_169,0.0,0.0,46694303.0,0.0,exp_pc,static_line,0.04,0.8,0.8,0.000295936,0.85,6000.0,0.0,1.0,46700303.0,0.0
0410184_169,5.487209073400928e-12,0.0,1909100.0,0.0,exp_pc,static_grid,0.04,0.8,0.8,0.000295936,0.85,4000.0,0.0,1.0,1913100.0,0.0
z4_268,1.0315526411689503e-121,0.0,2469050.0,0.0,exp_pc,qmsn,0.04,0.8,0.8,0.000295936,0.85,1430.0,0.0,1.0,2470480.0,0.0
z4_268,2.224557520909878e-122,0.0,2282845.5,0.0,exp_pc,mpqn,0.04,0.8,0.8,0.000295936,0.85,1358.5,0.0,1.0,2284204.0,0.0
z4_268,1.0249925058186944e-157,0.0,279231300.0,0.0,exp_pc,static_line,0.04,0.8,0.8,0.000295936,0.85,6100.0,0.0,1.0,279237400.0,0.0
z4_268,5.171421503833148e-142,0.0,17406901.0,0.0,exp_pc,static_grid,0.04,0.8,0.8,0.000295936,0.85,6100.0,0.0,1.0,17413001.0,0.0
cnt3-5_180,4.97996298135254e-20,0.0,224280.0,0.0,exp_pc,qmsn,0.08,0.8,0.8,0.001183744,0.85,440.0,0.0,1.0,224720.0,0.0
cnt3-5_180,3.847280516958519e-20,0.0,194947.0,0.0,exp_pc,mpqn,0.08,0.8,0.8,0.001183744,0.85,347.0,0.0,1.0,195294.0,0.0
cnt3-5_180,4.8051539265517266e-29,0.0,722001.0,0.0,exp_pc,static_line,0.08,0.8,0.8,0.001183744,0.85,2000.0,0.0,1.0,724001.0,0.0
cnt3-5_180,1.2658284935730378e-23,0.0,358406.0,0.0,exp_pc,static_grid,0.08,0.8,0.8,0.001183744,0.85,1000.0,0.0,1.0,359406.0,0.0
adr4_197,3.209810943405505e-135,0.0,1902440.0,0.0,exp_pc,qmsn,0.08,0.8,0.8,0.001183744,0.85,440.0,0.0,1.0,1902880.0,0.0
adr4_197,5.316459245348827e-136,0.0,1771042.5,0.0,exp_pc,mpqn,0.08,0.8,0.8,0.001183744,0.85,347.0,0.0,1.0,1771389.5,0.0
adr4_197,1.090570976677284e-195,0.0,4371201.0,0.0,exp_pc,static_line,0.08,0.8,0.8,0.001183744,0.85,4000.0,0.0,1.0,4375201.0,0.0
adr4_197,1.1109139431282051e-171,0.0,3043411.0,0.0,exp_pc,static_grid,0.08,0.8,0.8,0.001183744,0.85,3000.0,0.0,1.0,3046411.0,0.0
0410184_169,3.3707329757294473e-10,0.0,117470.0,0.0,exp_pc,qmsn,0.08,0.8,0.8,0.001183744,0.85,110.0,0.0,1.0,117580.0,0.0
