circuit,computational_fidelity_mean,computational_fidelity_std,exec_time_mean,exec_time_std,experiment,network,prefetch_time_mean,prefetch_time_std,runs,total_time_mean,total_time_std
cnt3-5_180,4.979962981352541e-20,0.0,191280.0,0.0,exp1,qmsn,110.0,0.0,1.0,191390.0,0.0
cnt3-5_180,3.8472805169585166e-20,0.0,187332.0,0.0,exp1,mpqn,84.0,0.0,1.0,187416.0,0.0
cnt3-5_180,4.8051539265517266e-29,0.0,354601.0,0.0,exp1,static_line,1000.0,0.0,1.0,355601.0,0.0
cnt3-5_180,1.2658284935730391e-23,0.0,333604.0,0.0,exp1,static_grid,1000.0,0.0,1.0,334604.0,0.0
adr4_197,3.209810943405497e-135,0.0,1540100.0,0.0,exp1,qmsn,110.0,0.0,1.0,1540210.0,0.0
adr4_197,5.324059614670523e-136,0.0,1526463.5,0.0,exp1,mpqn,84.0,0.0,1.0,1526547.5,0.0
adr4_197,1.2598429939069366e-195,0.0,2945809.0,0.0,exp1,static_line,1000.0,0.0,1.0,2946809.0,0.0
adr4_197,1.110913943128203e-171,0.0,2792719.0,0.0,exp1,static_grid,2000.0,0.0,1.0,2794719.0,0.0
0410184_169,2.8805676164921304e-10,0.0,86890.0,0.0,exp1,qmsn,110.0,0.0,1.0,87000.0,0.0
0410184_169,3.861352296120648e-10,0.0,80420.0,0.0,exp1,mpqn,32.0,0.0,1.0,80452.0,0.0
0410184_169,3.2843208733199025e-15,0.0,176006.0,0.0,exp1,static_line,3000.0,0.0,1.0,179006.0,0.0
0410184_169,1.3150153416132474e-12,0.0,136207.0,0.0,exp1,static_grid,1000.0,0.0,1.0,137207.0,0.0
z4_268,2.263199163852524e-121,0.0,1310970.0,0.0,exp1,qmsn,110.0,0.0,1.0,1311080.0,0.0
z4_268,5.047251022634809e-122,0.0,1303925.5,0.0,exp1,mpqn,84.0,0.0,1.0,1304009.5,0.0
z4_268,1.024992505818698e-157,0.0,2399113.0,0.0,exp1,static_line,2000.0,0.0,1.0,2401113.0,0.0
z4_268,4.482991011965798e-142,0.0,2446212.0,0.0,exp1,static_grid,3000.0,0.0,1.0,2449212.0,0.0
