circuit,computational_fidelity,exec_time,experiment,n_gates,n_local_gates,n_qpus,n_qubits,n_remote_gates,network,p_c,p_d,p_e,p_ent,p_t,prefetch_time,seed,total_time
cnt3-5_180,4.979962981352551e-20,351550.0,exp_pc,485.0,270.0,16.0,16.0,215.0,qmsn,0.04,0.8,0.8,0.000295936,0.85,1430.0,7.0,352980.0
cnt3-5_180,3.847280516958513e-20,312608.0,exp_pc,485.0,270.0,16.0,16.0,215.0,mpqn,0.04,0.8,0.8,0.000295936,0.85,1358.5,7.0,313966.5
cnt3-5_180,4.8051539265517266e-29,596244303.0,exp_pc,485.0,270.0,16.0,16.0,215.0,static_line,0.04,0.8,0.8,0.000295936,0.85,4000.0,7.0,596248303.0
cnt3-5_180,1.265828493573037e-23,5340400.0,exp_pc,485.0,270.0,16.0,16.0,215.0,static_grid,0.04,0.8,0.8,0.000295936,0.85,4000.0,7.0,5344400.0
adr4_197,1.248479392739594e-135,2741190.0,exp_pc,3424.0,1926.0,13.0,13.0,1498.0,qmsn,0.04,0.8,0.8,0.000295936,0.85,1430.0,7.0,2742620.0
adr4_197,2.2353078408056496e-136,2544955.0,exp_pc,3424.0,1926.0,13.0,13.0,1498.0,mpqn,0.04,0.8,0.8,0.000295936,0.85,1358.5,7.0,2546313.5
adr4_197,1.2580445031434764e-195,2413846300.0,exp_pc,3424.0,1926.0,13.0,13.0,1498.0,static_line,0.04,0.8,0.8,0.000295936,0.85,27100.0,7.0,2413873400.0
adr4_197,5.355050806790535e-171,51399901.0,exp_pc,3424.0,1926.0,16.0,13.0,1498.0,static_grid,0.04,0.8,0.8,0.000295936,0.85,4000.0,7.0,51403901.0
0410184_169,1.5363599277184803e-10,145300.0,exp_pc,203.0,99.0,14.0,14.0,104.0,qmsn,0.04,0.8,0.8,0.000295936,0.85,440.0,7.0,145740.0
0410184_169,1.5202497046840172e-10,132655.5,exp_pc,203.0,99.0,14.0,14.0,104.0,mpqn,0.04,0.8,0.8,0.000295936,0.85,404.0,7.0,133059.5
0410184_169,0.0,46694303.0,exp_pc,203.0,99.0,14.0,14.0,104.0,static_line,0.04,0.8,0.8,0.000295936,0.85,6000.0,7.0,46700303.0
